"","(Intercept)","y","y25","y975","model"
"1",15.7182616811272,0.000121619692872319,7.44973829497401e-05,0.000168742002794898,"m1"
"2",15.4849047123539,0.000119942179887174,7.48601458158714e-05,0.000165024213958476,"m2"
"3",16.9259044280901,0.00011769402669234,7.92287141718126e-05,0.000156159339212868,"m3"
"4",14.9194999667241,0.00013339181349257,7.85341310146104e-05,0.000188249495970529,"m4"
"5",16.1427937655292,0.000125898318610732,7.41574977225645e-05,0.0001776391394989,"m5"
"6",17.0628078142635,0.000130522760252508,7.54757118732533e-05,0.000185569808631762,"m6"
"7",18.102711279955,0.000128690763431513,7.43598751162563e-05,0.00018302165174677,"m7"
"8",17.7965728300131,0.000127006245853196,7.36180072353894e-05,0.000180394484471003,"m8"
"9",16.7605199458562,0.00012151485096829,7.5390453762311e-05,0.00016763924817427,"m9"
"10",17.5655592374391,0.00011959699733008,7.7648890323356e-05,0.000161545104336804,"m10"
"11",15.809953228266,0.000114451850352619,8.28018399635302e-05,0.000146101860741708,"m11"
"12",14.8782672077237,0.000133969863631077,7.84073948736524e-05,0.000189532332388502,"m12"
"13",16.8614661627335,0.000132282948844224,7.53516959163507e-05,0.000189214201772098,"m13"
"14",17.7261425919357,0.000126383246750767,7.40128067947583e-05,0.000178753686706776,"m14"
"15",16.6897828668689,0.000123652447577958,7.63771225456547e-05,0.000170927772610262,"m15"
